dataset_id,openml_did,name,n_instances,n_features,n_classes,n_missing_values,missing_value_fraction,n_numerical_features,n_categorical_features,class_balance_ratio,openml_version,class_count_bin,size_bin,balance_bin,stratum
716,716,fri_c3_100_50,100.0,51.0,2.0,0.0,0.0,,,0.6129032258064516,2,binary,small,balanced,binary_small_balanced
775,775,fri_c2_100_25,100.0,26.0,2.0,0.0,0.0,,,0.7543859649122807,2,binary,small,balanced,binary_small_balanced
768,768,fri_c3_100_25,100.0,26.0,2.0,0.0,0.0,,,0.8181818181818182,2,binary,small,balanced,binary_small_balanced
762,762,fri_c2_100_10,100.0,11.0,2.0,0.0,0.0,,,0.8181818181818182,2,binary,small,balanced,binary_small_balanced
812,812,fri_c1_100_25,100.0,26.0,2.0,0.0,0.0,,,0.8867924528301887,2,binary,small,balanced,binary_small_balanced
808,808,fri_c0_100_10,100.0,11.0,2.0,0.0,0.0,,,0.8181818181818182,2,binary,small,balanced,binary_small_balanced
868,868,fri_c4_100_25,100.0,26.0,2.0,0.0,0.0,,,0.8518518518518519,2,binary,small,balanced,binary_small_balanced
889,889,fri_c0_100_25,100.0,26.0,2.0,0.0,0.0,,,1.0,2,binary,small,balanced,binary_small_balanced
876,876,fri_c1_100_50,100.0,51.0,2.0,0.0,0.0,,,0.7857142857142857,2,binary,small,balanced,binary_small_balanced
878,878,fri_c4_100_10,100.0,11.0,2.0,0.0,0.0,,,0.8867924528301887,2,binary,small,balanced,binary_small_balanced
850,850,fri_c0_100_50,100.0,51.0,2.0,0.0,0.0,,,0.9607843137254902,2,binary,small,balanced,binary_small_balanced
828,828,fri_c4_100_100,100.0,101.0,2.0,0.0,0.0,,,0.8867924528301887,2,binary,small,balanced,binary_small_balanced
789,789,fri_c1_100_10,100.0,11.0,2.0,0.0,0.0,,,0.8867924528301887,2,binary,small,balanced,binary_small_balanced
783,783,fri_c3_100_10,100.0,11.0,2.0,0.0,0.0,,,0.6666666666666666,2,binary,small,balanced,binary_small_balanced
932,932,fri_c4_100_50,100.0,51.0,2.0,0.0,0.0,,,0.7857142857142857,2,binary,small,balanced,binary_small_balanced
922,922,fri_c2_100_50,100.0,51.0,2.0,0.0,0.0,,,0.7241379310344828,2,binary,small,balanced,binary_small_balanced
1473,1473,fertility,100.0,10.0,2.0,0.0,0.0,,,0.13636363636363635,1,binary,small,imbalanced,binary_small_imbalanced
44573,44573,arcene_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,100.0,101.0,2.0,0.0,0.0,,,0.7857142857142857,1,binary,small,balanced,binary_small_balanced
44575,44575,arcene_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,100.0,101.0,2.0,0.0,0.0,,,0.7857142857142857,1,binary,small,balanced,binary_small_balanced
44574,44574,arcene_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,100.0,101.0,2.0,0.0,0.0,,,0.7857142857142857,1,binary,small,balanced,binary_small_balanced
44577,44577,arcene_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,100.0,101.0,2.0,0.0,0.0,,,0.7857142857142857,1,binary,small,balanced,binary_small_balanced
44576,44576,arcene_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,100.0,101.0,2.0,0.0,0.0,,,0.7857142857142857,1,binary,small,balanced,binary_small_balanced
1064,1064,ar6,101.0,30.0,2.0,0.0,0.0,,,0.1744186046511628,1,binary,small,imbalanced,binary_small_imbalanced
965,965,zoo,101.0,17.0,2.0,0.0,0.0,,,0.6833333333333333,2,binary,small,balanced,binary_small_balanced
62,62,zoo,101.0,17.0,7.0,0.0,0.0,,,0.0975609756097561,1,5-7,small,imbalanced,5-7_small_imbalanced
46778,46778,chowdary-2006,104.0,183.0,2.0,0.0,0.0,,,0.6774193548387096,1,binary,small,balanced,binary_small_balanced
327,327,bridges,105.0,12.0,6.0,61.0,0.048412698412698414,,,0.22727272727272727,3,5-7,small,imbalanced,5-7_small_imbalanced
328,328,bridges,105.0,12.0,6.0,61.0,0.048412698412698414,,,0.22727272727272727,4,5-7,small,imbalanced,5-7_small_imbalanced
45615,45615,appendicitis_test_edsa,106.0,8.0,2.0,0.0,0.0,,,0.24705882352941178,3,binary,small,imbalanced,binary_small_imbalanced
1465,1465,breast-tissue,106.0,10.0,6.0,0.0,0.0,,,0.6363636363636364,1,5-7,small,balanced,5-7_small_balanced
956,956,molecular-biology_promoters,106.0,58.0,2.0,0.0,0.0,,,0.4722222222222222,2,binary,small,imbalanced,binary_small_imbalanced
45613,45613,appendicitis_test_edsa,106.0,8.0,2.0,0.0,0.0,,,0.24705882352941178,2,binary,small,imbalanced,binary_small_imbalanced
164,164,molecular-biology_promoters,106.0,58.0,2.0,0.0,0.0,,,1.0,1,binary,small,balanced,binary_small_balanced
1559,1559,breast-tissue,106.0,10.0,4.0,0.0,0.0,,,0.2857142857142857,2,3-4,small,imbalanced,3-4_small_imbalanced
1061,1061,ar4,107.0,30.0,2.0,0.0,0.0,,,0.22988505747126436,1,binary,small,imbalanced,binary_small_imbalanced
890,890,cloud,108.0,8.0,2.0,0.0,0.0,,,0.42105263157894735,2,binary,small,imbalanced,binary_small_imbalanced
1519,1519,robot-failures-lp4,117.0,91.0,3.0,0.0,0.0,,,0.2916666666666667,1,3-4,small,imbalanced,3-4_small_imbalanced
46872,46872,Dataset-Mental-Disorders,120.0,18.0,4.0,0.0,0.0,,,0.9032258064516129,2,3-4,small,balanced,3-4_small_balanced
46750,46750,Dataset-Mental-Disorders,120.0,19.0,4.0,0.0,0.0,,,0.9032258064516129,1,3-4,small,balanced,3-4_small_balanced
1059,1059,ar1,121.0,30.0,2.0,0.0,0.0,,,0.08035714285714286,1,binary,small,imbalanced,binary_small_imbalanced
1441,1441,KungChi3,123.0,40.0,2.0,0.0,0.0,,,0.14953271028037382,1,binary,small,imbalanced,binary_small_imbalanced
1513,1513,heart-switzerland,123.0,13.0,5.0,0.0,0.0,,,0.10416666666666667,1,5-7,small,imbalanced,5-7_small_imbalanced
1075,1075,datatrieve,130.0,9.0,2.0,0.0,0.0,,,0.09243697478991597,1,binary,small,imbalanced,binary_small_imbalanced
719,719,veteran,137.0,8.0,2.0,0.0,0.0,,,0.4574468085106383,2,binary,small,imbalanced,binary_small_imbalanced
1066,1066,kc1-binary,145.0,95.0,2.0,0.0,0.0,,,0.7058823529411765,1,binary,small,balanced,binary_small_balanced
1045,1045,kc1-top5,145.0,95.0,2.0,0.0,0.0,,,0.058394160583941604,1,binary,small,imbalanced,binary_small_imbalanced
1006,1006,lymph,148.0,19.0,2.0,0.0,0.0,,,0.8271604938271605,2,binary,small,balanced,binary_small_balanced
10,10,lymph,148.0,19.0,4.0,0.0,0.0,,,0.024691358024691357,1,3-4,small,imbalanced,3-4_small_imbalanced
1026,1026,grub-damage,155.0,9.0,2.0,0.0,0.0,,,0.46226415094339623,2,binary,small,imbalanced,binary_small_imbalanced
338,338,grub-damage,155.0,9.0,4.0,0.0,0.0,,,0.3877551020408163,1,3-4,small,imbalanced,3-4_small_imbalanced
41978,41978,TuningSVMs,156.0,81.0,2.0,0.0,0.0,,,0.6595744680851063,3,binary,small,balanced,binary_small_balanced
41977,41977,TuningSVMs,156.0,91.0,2.0,0.0,0.0,,,0.5918367346938775,2,binary,small,balanced,binary_small_balanced
41976,41976,TuningSVMs,156.0,81.0,2.0,0.0,0.0,,,0.5294117647058824,1,binary,small,balanced,binary_small_balanced
852,852,analcatdata_gsssexsurvey,159.0,10.0,2.0,6.0,0.0037735849056603774,,,0.28225806451612906,2,binary,small,imbalanced,binary_small_imbalanced
745,745,auto_price,159.0,16.0,2.0,0.0,0.0,,,0.5142857142857142,2,binary,small,balanced,binary_small_balanced
756,756,autoPrice,159.0,16.0,2.0,0.0,0.0,,,0.5142857142857142,2,binary,small,balanced,binary_small_balanced
1054,1054,mc2,161.0,40.0,2.0,0.0,0.0,,,0.47706422018348627,1,binary,small,imbalanced,binary_small_imbalanced
1520,1520,robot-failures-lp5,164.0,91.0,5.0,0.0,0.0,,,0.44680851063829785,1,5-7,small,imbalanced,5-7_small_imbalanced
46875,46875,divorce_prediction,170.0,55.0,2.0,0.0,0.0,,,0.9767441860465116,2,binary,small,balanced,binary_small_balanced
973,973,wine,178.0,14.0,2.0,0.0,0.0,,,0.6635514018691588,2,binary,small,balanced,binary_small_balanced
4153,4153,Smartphone-Based_Recognition_of_Human_Activities,180.0,68.0,6.0,0.0,0.0,,,1.0,1,5-7,small,balanced,5-7_small_balanced
463,463,backache,180.0,32.0,2.0,0.0,0.0,,,0.16129032258064516,1,binary,small,imbalanced,binary_small_imbalanced
1490,1490,planning-relax,182.0,13.0,2.0,0.0,0.0,,,0.4,1,binary,small,imbalanced,binary_small_imbalanced
788,788,triazines,186.0,61.0,2.0,0.0,0.0,,,0.7064220183486238,2,binary,small,balanced,binary_small_balanced
46854,46854,bone_marrow_transplant_children,187.0,37.0,2.0,81.0,0.011706894059835236,,,0.8333333333333334,2,binary,small,balanced,binary_small_balanced
941,941,lowbwt,189.0,10.0,2.0,0.0,0.0,,,0.9090909090909091,2,binary,small,balanced,binary_small_balanced
285,285,flags,194.0,29.0,8.0,0.0,0.0,,,0.06666666666666667,1,8-10,small,imbalanced,8-10_small_imbalanced
1012,1012,flags,194.0,29.0,2.0,0.0,0.0,,,0.552,2,binary,small,balanced,binary_small_balanced
1448,1448,KnuggetChase3,194.0,40.0,2.0,0.0,0.0,,,0.22784810126582278,1,binary,small,imbalanced,binary_small_imbalanced
753,753,wisconsin,194.0,33.0,2.0,0.0,0.0,,,0.8653846153846154,2,binary,small,balanced,binary_small_balanced
738,738,pharynx,195.0,11.0,2.0,2.0,0.0009324009324009324,,,0.6115702479338843,2,binary,small,balanced,binary_small_balanced
1488,1488,parkinsons,195.0,23.0,2.0,0.0,0.0,,,0.32653061224489793,1,binary,small,imbalanced,binary_small_imbalanced
1512,1512,heart-long-beach,200.0,14.0,5.0,0.0,0.0,,,0.17857142857142858,1,5-7,small,imbalanced,5-7_small_imbalanced
46844,46844,Predicting_Risk_Factors_of_Chronic_Kidney_Disease,200.0,29.0,2.0,0.0,0.0,,,0.5625,2,binary,small,balanced,binary_small_balanced
721,721,pwLinear,200.0,11.0,2.0,0.0,0.0,,,0.941747572815534,2,binary,small,balanced,binary_small_balanced
46602,46602,Predicting_Risk_Factors_of_Chronic_Kidney_Disease,200.0,29.0,2.0,0.0,0.0,,,0.5625,1,binary,small,balanced,binary_small_balanced
446,446,prnn_crabs,200.0,8.0,2.0,0.0,0.0,,,1.0,1,binary,small,balanced,binary_small_balanced
42172,42172,regime_alimentaire,202.0,20.0,2.0,17.0,0.004207920792079208,,,0.2546583850931677,1,binary,small,imbalanced,binary_small_imbalanced
46331,46331,autos_clean,205.0,26.0,6.0,59.0,0.011069418386491557,,,0.04477611940298507,1,5-7,small,imbalanced,5-7_small_imbalanced
840,840,autoHorse,205.0,26.0,2.0,57.0,0.010694183864915573,,,0.680327868852459,2,binary,small,balanced,binary_small_balanced
975,975,autos,205.0,26.0,2.0,59.0,0.011069418386491557,,,0.4855072463768116,2,binary,small,imbalanced,binary_small_imbalanced
9,9,autos,205.0,26.0,6.0,59.0,0.011069418386491557,,,0.04477611940298507,1,5-7,small,imbalanced,5-7_small_imbalanced
40,40,sonar,208.0,61.0,2.0,0.0,0.0,,,0.8738738738738738,1,binary,small,balanced,binary_small_balanced
796,796,cpu,209.0,8.0,2.0,0.0,0.0,,,0.33974358974358976,2,binary,small,imbalanced,binary_small_imbalanced
481,481,biomed,209.0,9.0,2.0,15.0,0.007974481658692184,,,0.5597014925373134,1,binary,small,balanced,binary_small_balanced
1500,1500,seismic-bumps,210.0,8.0,3.0,0.0,0.0,,,1.0,1,3-4,small,balanced,3-4_small_balanced
1499,1499,seeds,210.0,8.0,3.0,0.0,0.0,,,1.0,1,3-4,small,balanced,3-4_small_balanced
952,952,prnn_fglass,214.0,10.0,6.0,0.0,0.0,,,0.11842105263157894,1,5-7,small,imbalanced,5-7_small_imbalanced
1005,1005,glass,214.0,10.0,2.0,0.0,0.0,,,0.5507246376811594,2,binary,small,balanced,binary_small_balanced
996,996,prnn_fglass,214.0,10.0,2.0,0.0,0.0,,,0.5507246376811594,2,binary,small,balanced,binary_small_balanced
41,41,glass,214.0,10.0,6.0,0.0,0.0,,,0.11842105263157894,1,5-7,small,imbalanced,5-7_small_imbalanced
46334,46334,glass_clean,214.0,10.0,6.0,0.0,0.0,,,0.11842105263157894,1,5-7,small,imbalanced,5-7_small_imbalanced
41703,41703,MIP-2016-classification,218.0,148.0,5.0,0.0,0.0,,,0.011904761904761904,1,5-7,small,imbalanced,5-7_small_imbalanced
41939,41939,MIP-2016-PAR10-classification,218.0,144.0,5.0,0.0,0.0,,,0.011904761904761904,1,5-7,small,imbalanced,5-7_small_imbalanced
42169,42169,epiparo_extract,224.0,20.0,6.0,205.0,0.04575892857142857,,,0.008130081300813009,1,5-7,small,imbalanced,5-7_small_imbalanced
999,999,audiology,226.0,70.0,2.0,317.0,0.020037926675094818,,,0.33727810650887574,2,binary,small,imbalanced,binary_small_imbalanced
1412,1412,lungcancer_GSE31210,226.0,24.0,2.0,0.0,0.0,,,0.18324607329842932,1,binary,small,imbalanced,binary_small_imbalanced
939,939,chscase_whale,228.0,9.0,2.0,20.0,0.009746588693957114,,,0.9487179487179487,2,binary,small,balanced,binary_small_balanced
820,820,chatfield_4,235.0,13.0,2.0,0.0,0.0,,,0.6549295774647887,2,binary,small,balanced,binary_small_balanced
851,851,tecator,240.0,125.0,2.0,0.0,0.0,,,0.7391304347826086,2,binary,small,balanced,binary_small_balanced
46279,46279,algerian_forest_fires,243.0,14.0,2.0,0.0,0.0,,,0.7737226277372263,1,binary,small,balanced,binary_small_balanced
769,769,fri_c1_250_50,250.0,51.0,2.0,0.0,0.0,,,0.8248175182481752,2,binary,small,balanced,binary_small_balanced
732,732,fri_c0_250_50,250.0,51.0,2.0,0.0,0.0,,,0.8796992481203008,2,binary,small,balanced,binary_small_balanced
773,773,fri_c0_250_25,250.0,26.0,2.0,0.0,0.0,,,0.9841269841269841,2,binary,small,balanced,binary_small_balanced
873,873,fri_c3_250_50,250.0,51.0,2.0,0.0,0.0,,,0.7605633802816901,2,binary,small,balanced,binary_small_balanced
918,918,fri_c4_250_50,250.0,51.0,2.0,0.0,0.0,,,0.8518518518518519,2,binary,small,balanced,binary_small_balanced
877,877,fri_c2_250_50,250.0,51.0,2.0,0.0,0.0,,,0.8248175182481752,2,binary,small,balanced,binary_small_balanced
793,793,fri_c3_250_10,250.0,11.0,2.0,0.0,0.0,,,0.8518518518518519,2,binary,small,balanced,binary_small_balanced
935,935,fri_c1_250_10,250.0,11.0,2.0,0.0,0.0,,,0.7857142857142857,2,binary,small,balanced,binary_small_balanced
933,933,fri_c4_250_25,250.0,26.0,2.0,0.0,0.0,,,0.8382352941176471,2,binary,small,balanced,binary_small_balanced
746,746,fri_c1_250_25,250.0,26.0,2.0,0.0,0.0,,,0.7482517482517482,2,binary,small,balanced,binary_small_balanced
763,763,fri_c0_250_10,250.0,11.0,2.0,0.0,0.0,,,1.0,2,binary,small,balanced,binary_small_balanced
794,794,fri_c2_250_25,250.0,26.0,2.0,0.0,0.0,,,0.7985611510791367,2,binary,small,balanced,binary_small_balanced
832,832,fri_c3_250_25,250.0,26.0,2.0,0.0,0.0,,,0.7985611510791367,2,binary,small,balanced,binary_small_balanced
834,834,fri_c4_250_100,250.0,101.0,2.0,0.0,0.0,,,0.7857142857142857,2,binary,small,balanced,binary_small_balanced
863,863,fri_c4_250_10,250.0,11.0,2.0,0.0,0.0,,,0.8796992481203008,2,binary,small,balanced,binary_small_balanced
830,830,fri_c2_250_10,250.0,11.0,2.0,0.0,0.0,,,0.5723270440251572,2,binary,small,balanced,binary_small_balanced
778,778,bodyfat,252.0,15.0,2.0,0.0,0.0,,,0.96875,2,binary,small,balanced,binary_small_balanced
1442,1442,MegaWatt1,253.0,38.0,2.0,0.0,0.0,,,0.11946902654867257,1,binary,small,imbalanced,binary_small_imbalanced
42544,42544,Touch2,265.0,11.0,8.0,0.0,0.0,,,0.574468085106383,1,8-10,small,balanced,8-10_small_balanced
336,336,SPECT,267.0,23.0,2.0,0.0,0.0,,,0.25943396226415094,1,binary,small,imbalanced,binary_small_imbalanced
1600,1600,SPECTF,267.0,45.0,2.0,0.0,0.0,,,0.25943396226415094,2,binary,small,imbalanced,binary_small_imbalanced
1073,1073,jEdit_4.0_4.2,274.0,9.0,2.0,0.0,0.0,,,0.9571428571428572,1,binary,small,balanced,binary_small_balanced
23499,23499,breast-cancer-dropped-missing-attributes-values,277.0,10.0,2.0,0.0,0.0,,,0.413265306122449,1,binary,small,imbalanced,binary_small_imbalanced
880,880,mu284,284.0,11.0,2.0,0.0,0.0,,,1.0,2,binary,small,balanced,binary_small_balanced
452,452,analcatdata_broadwaymult,285.0,8.0,7.0,27.0,0.011842105263157895,,,0.17796610169491525,1,5-7,small,imbalanced,5-7_small_imbalanced
