dataset_id,openml_did,name,n_instances,n_features,n_classes,n_numerical_features,n_categorical_features,missing_value_fraction,class_balance_ratio,openml_version,download_timestamp,class_count_bin,size_bin,balance_bin,stratum
46850,46850,hepatitis_c_virus_hcv_for_egyptian_patients,1385,28,4,28,0,0.0,0.9171,2,2026-05-02T11:56:42Z,3-4,medium,balanced,3-4_medium_balanced
41881,41881,FOREX_chfjpy-hour-High,43825,10,2,10,1,0.0,0.9176,1,2026-05-02T11:56:42Z,binary,large,balanced,binary_large_balanced
44507,44507,steel-plates-fault_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,1941,27,7,27,0,0.0,0.0817,1,2026-05-02T11:56:42Z,5-7,medium,imbalanced,5-7_medium_imbalanced
44227,44227,South_Asian_Churn_dataset,2000,9,2,9,4,0.0,1.0,1,2026-05-02T11:56:42Z,binary,medium,balanced,binary_medium_balanced
44624,44624,mfeat-factors_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,100,10,100,0,0.0,1.0,1,2026-05-02T11:56:42Z,8-10,medium,balanced,8-10_medium_balanced
41168,41168,jannis,83733,54,4,54,0,0.0,0.0438,1,2026-05-02T11:56:42Z,3-4,large,imbalanced,3-4_large_imbalanced
1465,1465,breast-tissue,106,9,6,9,0,0.0,0.6364,1,2026-05-02T11:56:42Z,5-7,small,balanced,5-7_small_balanced
1549,1549,autoUniv-au6-750,750,37,8,37,3,0.0,0.3455,1,2026-05-02T11:56:42Z,8-10,small,imbalanced,8-10_small_imbalanced
830,830,fri_c2_250_10,250,10,2,10,0,0.0,0.5723,2,2026-05-02T11:56:42Z,binary,small,balanced,binary_small_balanced
44744,44744,shuttle_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,9,5,9,0,0.0,0.0,1,2026-05-02T11:56:42Z,5-7,medium,imbalanced,5-7_medium_imbalanced
46525,46525,Corporate_Credit_Rating_Classification,2029,41,10,41,0,0.0,0.0015,1,2026-05-02T11:56:42Z,8-10,medium,imbalanced,8-10_medium_imbalanced
44701,44701,Fashion-MNIST_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,100,10,100,0,0.0,1.0,1,2026-05-02T11:56:42Z,8-10,medium,balanced,8-10_medium_balanced
46553,46553,Loan_Status,45000,8,2,8,5,0.0,0.2857,1,2026-05-02T11:56:42Z,binary,large,imbalanced,binary_large_imbalanced
694,694,diggle_table_a2,310,8,9,8,0,0.0,0.439,1,2026-05-02T11:56:42Z,8-10,small,imbalanced,8-10_small_imbalanced
44232,44232,UCI_churn,3333,16,2,16,4,0.0,0.1695,1,2026-05-02T11:56:42Z,binary,medium,imbalanced,binary_medium_imbalanced
42544,42544,Touch2,265,10,8,10,0,0.0,0.5745,1,2026-05-02T11:56:42Z,8-10,small,balanced,8-10_small_balanced
46745,46745,Advanced_IoT_Dataset,30000,12,6,12,1,0.0,1.0,1,2026-05-02T11:56:42Z,5-7,large,balanced,5-7_large_balanced
1044,1044,eye_movements,10936,24,3,24,3,0.0,0.6734,1,2026-05-02T11:56:42Z,3-4,large,balanced,3-4_large_balanced
44782,44782,KDDCup99_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,32,8,32,9,0.0,0.0,1,2026-05-02T11:56:42Z,8-10,medium,imbalanced,8-10_medium_imbalanced
41715,41715,FOREX_eurhuf-hour-High,43825,10,2,10,1,0.0,0.6297,1,2026-05-02T11:56:42Z,binary,large,balanced,binary_large_balanced
46560,46560,dataset_credit_score,50000,27,3,27,0,0.0063,0.3353,3,2026-05-02T11:56:42Z,3-4,large,imbalanced,3-4_large_imbalanced
46331,46331,autos_clean,205,15,6,15,10,0.0185,0.0448,1,2026-05-02T11:56:42Z,5-7,small,imbalanced,5-7_small_imbalanced
40994,40994,climate-model-simulation-crashes,540,18,2,18,0,0.0,0.0931,4,2026-05-02T11:56:42Z,binary,small,imbalanced,binary_small_imbalanced
60,60,waveform-5000,5000,40,3,40,0,0.0,0.977,1,2026-05-02T11:56:42Z,3-4,medium,balanced,3-4_medium_balanced
44463,44463,KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,2000,34,2,34,15,0.0,1.0,1,2026-05-02T11:56:42Z,binary,medium,balanced,binary_medium_balanced
1559,1559,breast-tissue,106,9,4,9,0,0.0,0.2857,2,2026-05-02T11:56:42Z,3-4,small,imbalanced,3-4_small_imbalanced
46840,46840,Estimation_of_Obesity_Levels,2111,8,7,8,8,0.0,0.7749,2,2026-05-02T11:56:42Z,5-7,medium,balanced,5-7_medium_balanced
46851,46851,hepatitis_c_virus_hcv_for_egyptian_patients,1385,28,4,28,0,0.0,0.9171,3,2026-05-02T11:56:42Z,3-4,medium,balanced,3-4_medium_balanced
46530,46530,Corporate_Credit_Rating_Classification,2029,28,10,28,2,0.0,0.0015,3,2026-05-02T11:56:42Z,8-10,medium,imbalanced,8-10_medium_imbalanced
