dataset,method,n_clusters,n_classes,largest_cluster_frac,cluster_collapse,cluster_degenerate,unique_mapped_classes,mapping_collapse,rf_train_bal_acc_on_pseudo,rf_underfit_pseudo,unique_predicted_classes,bal_acc,majority_baseline_bal,gt_acc,lse_ratio,lse_lift,beats_majority,matches_majority,gt_beats_majority,failed,error
news_channel,kmeans,6.0,6.0,0.406,False,False,6.0,False,1.0,False,5.0,0.205,0.167,0.411,0.5,0.158,True,False,True,,
news_channel,dbscan,,,,,,,,,,,,,,,,,,,True,bad allocation
news_channel,agg,,,,,,,,,,,,,,,,,,,True,"Unable to allocate 1004. MiB for an array with shape (131649651,) and data type float64"
news_channel,gmm,6.0,6.0,0.381,False,False,6.0,False,1.0,False,5.0,0.239,0.167,0.411,0.58,0.294,True,False,True,,
news_channel,autoenc,6.0,6.0,0.54,False,False,6.0,False,1.0,False,5.0,0.225,0.167,0.411,0.548,0.239,True,False,True,,
news_channel,dictlearn,6.0,6.0,0.511,False,False,6.0,False,1.0,False,6.0,0.202,0.167,0.411,0.491,0.144,True,False,True,,
fri_c1_100_50,kmeans,2.0,2.0,0.562,False,False,2.0,False,1.0,False,2.0,0.53,0.5,0.722,0.734,0.136,True,False,True,,
fri_c1_100_50,dbscan,2.0,2.0,0.562,False,False,2.0,False,1.0,False,2.0,0.53,0.5,0.722,0.734,0.136,True,False,True,,
fri_c1_100_50,agg,2.0,2.0,0.562,False,False,2.0,False,1.0,False,2.0,0.53,0.5,0.722,0.734,0.136,True,False,True,,
fri_c1_100_50,gmm,2.0,2.0,0.588,False,False,2.0,False,1.0,False,2.0,0.621,0.5,0.722,0.86,0.545,True,False,True,,
fri_c1_100_50,autoenc,2.0,2.0,0.613,False,False,2.0,False,1.0,False,2.0,0.571,0.5,0.722,0.79,0.318,True,False,True,,
fri_c1_100_50,dictlearn,2.0,2.0,0.675,False,False,2.0,False,1.0,False,2.0,0.556,0.5,0.722,0.769,0.25,True,False,True,,
analcatdata_apnea1,kmeans,2.0,2.0,0.518,False,False,2.0,False,1.0,False,2.0,0.467,0.5,0.497,0.938,0.0,False,False,False,,
analcatdata_apnea1,dbscan,2.0,2.0,0.518,False,False,2.0,False,1.0,False,2.0,0.467,0.5,0.497,0.938,0.0,False,False,False,,
analcatdata_apnea1,agg,2.0,2.0,0.674,False,False,2.0,False,1.0,False,2.0,0.486,0.5,0.497,0.978,0.0,False,False,False,,
analcatdata_apnea1,gmm,2.0,2.0,0.521,False,False,2.0,False,1.0,False,2.0,0.479,0.5,0.497,0.964,0.0,False,False,False,,
analcatdata_apnea1,autoenc,2.0,2.0,0.521,False,False,2.0,False,1.0,False,2.0,0.479,0.5,0.497,0.964,0.0,False,False,False,,
analcatdata_apnea1,dictlearn,1.0,2.0,1.0,True,True,1.0,True,1.0,False,1.0,0.5,0.5,0.497,1.005,0.0,False,True,False,,
PriceRunner,kmeans,10.0,10.0,0.162,False,False,10.0,False,1.0,False,10.0,0.505,0.1,1.0,0.505,0.45,True,False,True,,
PriceRunner,dbscan,553.0,10.0,0.02,False,False,10.0,False,1.0,False,10.0,0.2,0.1,1.0,0.2,0.111,True,False,True,,
PriceRunner,agg,,,,,,,,,,,,,,,,,,,True,"Unable to allocate 2.97 GiB for an array with shape (398734680,) and data type float64"
PriceRunner,gmm,10.0,10.0,0.133,False,False,10.0,False,1.0,False,10.0,0.461,0.1,1.0,0.461,0.401,True,False,True,,
PriceRunner,autoenc,10.0,10.0,0.142,False,False,10.0,False,1.0,False,10.0,0.483,0.1,1.0,0.483,0.426,True,False,True,,
