dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy
41004,0.6899,0.4163,0.5182,0.617,0.6524,0.4088,kmeans,0.9904
4153,0.7143,0.3429,0.6,0.6571,0.6857,0.5714,kmeans,0.9722
1465,0.5,0.3333,0.5833,0.4167,0.4167,0.3333,agg,0.5455
26,,,,,,,FAILED,
373,1.6639,2.1079,1.6763,1.7012,1.6556,2.0124,dbscan,0.1324
375,0.3881,0.1685,0.4636,0.507,0.3364,0.3235,gmm,0.9709
46879,0.82,0.82,0.82,0.82,0.82,0.48,kmeans,0.463
47000,0.7315,0.6944,0.6944,0.7593,0.713,0.5278,gmm,0.6923
42186,0.8889,0.7407,0.8889,1.037,0.9259,0.4444,gmm,0.9
44517,0.3917,0.2433,0.4184,0.4214,0.4036,0.2967,gmm,0.8425
44636,0.6038,0.4394,0.6065,0.6739,0.5741,0.4744,gmm,0.9275
1459,0.2116,0.234,0.2217,0.2607,0.2521,0.2361,gmm,0.9178
46174,,,,,,,FAILED,
46505,0.8039,0.8137,0.7549,0.7549,0.8235,0.8235,autoenc,0.7083
44634,0.5543,0.4429,0.6033,0.712,0.6168,0.4674,gmm,0.92
46566,1.0109,1.0109,1.0273,1.0546,1.0164,0.8743,gmm,0.3631
46872,,,,,,,FAILED,
40997,0.4464,0.7242,0.4753,0.5719,0.5848,0.4303,dbscan,0.9904
62,1.0,1.0,1.0,1.0,1.0,0.5,kmeans,0.7619
1529,0.2926,1.0222,0.3667,0.2852,0.2926,0.2407,dbscan,0.8852
46530,,,,,,,FAILED,
1539,0.2376,0.9856,0.3176,0.2434,0.2733,0.4194,dbscan,0.9471
46176,,,,,,,FAILED,
1500,1.0263,0.7368,1.0,0.9474,1.0263,0.7368,kmeans,0.9048
46819,,,,,,,FAILED,
1533,0.2445,0.9925,0.4266,0.263,0.2954,0.4217,dbscan,0.9644
1523,0.5686,0.4902,0.5882,0.9608,0.6078,0.5098,gmm,0.8226
22,0.4667,0.1433,0.64,0.5967,0.6033,0.6067,agg,0.75
45688,0.8333,1.0,0.8333,0.75,0.9167,0.9167,dbscan,0.3871
46745,0.6688,0.4347,0.7225,0.612,0.7252,0.609,autoenc,1.0
40498,0.4009,0.6532,0.3664,0.4715,0.461,0.4129,dbscan,0.6796
40475,0.7039,0.9106,0.5056,0.6872,0.7514,0.662,dbscan,0.6393
46175,,,,,,,FAILED,
11,0.7113,0.5979,0.5979,0.7732,0.4948,0.5155,gmm,0.776
1551,0.375,0.375,0.6667,0.5833,0.3333,0.2917,agg,0.3
46382,0.3611,0.3333,0.3611,0.3889,0.4074,0.2963,autoenc,0.75
44513,0.3971,0.2441,0.3618,0.4118,0.3735,0.3059,gmm,0.85
44614,0.7842,1.0144,0.7698,0.7842,0.777,0.8129,dbscan,0.4712
46750,,,,,,,FAILED,
469,,,,,,,FAILED,
44616,0.7842,1.0144,0.7698,0.7842,0.777,0.8129,dbscan,0.4712
46839,,,,,,,FAILED,
377,0.5583,0.225,0.7,0.6583,0.5583,0.4,agg,1.0
40496,0.8286,0.5429,0.7429,0.7714,0.7571,0.8143,kmeans,0.7
40474,0.7039,0.9106,0.5056,0.6872,0.7514,0.662,dbscan,0.6393
685,1.0,1.125,0.75,1.25,0.875,0.625,gmm,0.3077
46372,0.4695,0.1361,0.4771,0.7494,0.4746,0.4275,gmm,0.786
1560,0.6388,0.9187,0.4689,0.6292,0.4809,0.4952,dbscan,0.9812
46182,,,,,,,FAILED,
43923,,,,,,,FAILED,
43859,0.8889,0.7407,0.8889,1.037,0.9259,0.4444,gmm,0.9
44747,0.7544,0.8246,0.7143,0.6441,0.7368,0.3459,dbscan,0.9975
1565,0.6923,0.9744,0.9487,0.8462,1.0,1.0,autoenc,0.661
1499,1.0263,0.7368,1.0,0.9474,1.0263,0.7368,kmeans,0.9048
43160,,,,,,,FAILED,
41919,1.1277,1.1915,0.9362,1.1702,1.1489,0.8511,dbscan,0.4434
