dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,n_instances_x,n_features_x,n_classes_x,skewness_mean_x,kurtosis_mean_x,mean_abs_pearson_x,class_entropy_x,imbalance_ratio_x,hopkins_x,intrinsic_dim_ratio_x,pca_var_pc1_x,inter_intra_ratio_x,silhouette_true_x,davies_bouldin_true_x,knn1_accuracy_x,decision_stump_accuracy_x,feature_sparsity_x,cv_mean_x,n_instances_y,n_features_y,n_classes_y,skewness_mean_y,kurtosis_mean_y,mean_abs_pearson_y,class_entropy_y,imbalance_ratio_y,hopkins_y,intrinsic_dim_ratio_y,pca_var_pc1_y,inter_intra_ratio_y,silhouette_true_y,davies_bouldin_true_y,knn1_accuracy_y,decision_stump_accuracy_y,feature_sparsity_y,cv_mean_y
41004,0.6899,0.4163,0.5182,0.617,0.6524,0.4088,kmeans,0.9904,3763.0,20.0,3.0,0.265058789049115,0.9984314985494348,0.1835776293349928,0.9755109184154076,1.709146968139774,0.9999999999997936,0.5,0.2408183062539965,3.603504628488083,0.1029232914185614,2.4879725871860034,0.9075227002675104,0.6245031569627921,0.0203029497741163,0.7342314901963439,3763.0,20.0,3.0,0.265058789049115,0.9984314985494348,0.1835776293349928,0.9755109184154076,1.709146968139774,0.9999999999997936,0.5,0.2408183062539965,3.603504628488083,0.1029232914185614,2.4879725871860034,0.9075227002675104,0.6245031569627921,0.0203029497741163,0.7342314901963439
4153,0.7143,0.3429,0.6,0.6571,0.6857,0.5714,kmeans,0.9722,144.0,66.0,6.0,0.7301314833460577,2.3045785356336226,0.5948546970493955,0.9999999999966512,1.0,1.0,0.1818181818181818,0.6953088151450131,13.414330524061882,0.1344622535301846,1.9432504161979915,0.9233990147783252,0.3054187192118227,0.0046296296296296,0.9329518496886242,144.0,66.0,6.0,0.7301314833460577,2.3045785356336226,0.5948546970493955,0.9999999999966512,1.0,1.0,0.1818181818181818,0.6953088151450131,13.414330524061882,0.1344622535301846,1.9432504161979915,0.9233990147783252,0.3054187192118227,0.0046296296296296,0.9329518496886242
1465,0.5,0.3333,0.5833,0.4167,0.4167,0.3333,agg,0.5455,84.0,9.0,6.0,0.0713180196937007,1.1926495002949276,0.1252650654757065,0.9924568022044724,1.5454545454545454,0.5175210349333809,1.0,0.2101394500683724,1.786660892006533,-0.0189301627091621,4.766190842086302,0.3926470588235294,0.3338235294117647,0.0066137566137566,0.5813256309525108,84.0,9.0,6.0,0.0713180196937007,1.1926495002949276,0.1252650654757065,0.9924568022044724,1.5454545454545454,0.5175210349333809,1.0,0.2101394500683724,1.786660892006533,-0.0189301627091621,4.766190842086302,0.3926470588235294,0.3338235294117647,0.0066137566137566,0.5813256309525108
375,0.3881,0.1685,0.4636,0.507,0.3364,0.3235,gmm,0.9709,7968.0,14.0,9.0,0.3333419919885254,0.5993339608133105,0.2324348797500975,0.9880576436645908,2.0656,0.999999999816286,0.7142857142857143,0.2822646386653897,3.06242781023302,0.0871179355226565,2.88113439351913,0.9889554441837368,0.2609190459200029,0.0062930292598967,1.3657209720472798,7968.0,14.0,9.0,0.3333419919885254,0.5993339608133105,0.2324348797500975,0.9880576436645908,2.0656,0.999999999816286,0.7142857142857143,0.2822646386653897,3.06242781023302,0.0871179355226565,2.88113439351913,0.9889554441837368,0.2609190459200029,0.0062930292598967,1.3657209720472798
46879,0.82,0.82,0.82,0.82,0.82,0.48,kmeans,0.463,432.0,14.0,4.0,0.301473944081451,1.5889197845148428,0.6283682686644739,0.9903918102798546,1.4631578947368422,0.99999999999906,0.2142857142857142,0.7005606545109883,0.8726209569434984,-0.0572031994186984,12.60238082550014,0.4259259259259259,0.324074074074074,0.0,0.5934578743817182,432.0,14.0,4.0,0.301473944081451,1.5889197845148428,0.6283682686644739,0.9903918102798546,1.4631578947368422,0.99999999999906,0.2142857142857142,0.7005606545109883,0.8726209569434984,-0.0572031994186984,12.60238082550014,0.4259259259259259,0.324074074074074,0.0,0.5934578743817182
47000,0.7315,0.6944,0.6944,0.7593,0.713,0.5278,gmm,0.6923,623.0,9.0,3.0,1.2611047545147729,4.02046021487682,0.2386316010626485,0.8023084854206763,7.215686274509804,0.9999995414402952,0.7777777777777778,0.2926599907325973,0.9399529990227856,0.0269672202640994,6.557806790809283,0.5746701969528056,0.6292502787068004,0.0026752273943285,1.0165142900538229,623.0,9.0,3.0,1.2611047545147729,4.02046021487682,0.2386316010626485,0.8023084854206763,7.215686274509804,0.9999995414402952,0.7777777777777778,0.2926599907325973,0.9399529990227856,0.0269672202640994,6.557806790809283,0.5746701969528056,0.6292502787068004,0.0026752273943285,1.0165142900538229
42186,0.8889,0.7407,0.8889,1.037,0.9259,0.4444,gmm,0.9,120.0,4.0,3.0,0.2845399665195318,0.858274295084555,0.580372834578007,0.9999999999972692,1.0,0.9491494901193926,0.5,0.7245487085855821,3.465570326081295,0.3890026345893031,1.038522841953604,0.9499999999999998,0.6583333333333333,0.0104166666666666,0.3468904049340163,120.0,4.0,3.0,0.2845399665195318,0.858274295084555,0.580372834578007,0.9999999999972692,1.0,0.9491494901193926,0.5,0.7245487085855821,3.465570326081295,0.3890026345893031,1.038522841953604,0.9499999999999998,0.6583333333333333,0.0104166666666666,0.3468904049340163
44517,0.3917,0.2433,0.4184,0.4214,0.4036,0.2967,gmm,0.8425,1600.0,100.0,5.0,1.5751723925164454,4.942248989267796,0.2018092444380488,0.9998082297809494,1.0718954248366013,1.0,0.54,0.3046364413334031,4.169009329301848,-0.0162139848587709,6.938360810372049,0.66875,0.320625,0.0075125,0.6767079470849854,1600.0,100.0,5.0,1.5751723925164454,4.942248989267796,0.2018092444380488,0.9998082297809494,1.0718954248366013,1.0,0.54,0.3046364413334031,4.169009329301848,-0.0162139848587709,6.938360810372049,0.66875,0.320625,0.0075125,0.6767079470849854
44636,0.6038,0.4394,0.6065,0.6739,0.5741,0.4744,gmm,0.9275,1600.0,16.0,7.0,3.832130279775915,43.35101258372845,0.3133886037820588,0.9999987952952156,1.0043859649122806,0.9617020045237812,0.5,0.4604229341157666,4.348498925273334,0.1964676250423295,2.92670147702128,0.90375,0.285,0.0060546875,2.1947444658764184,1600.0,16.0,7.0,3.832130279775915,43.35101258372845,0.3133886037820588,0.9999987952952156,1.0043859649122806,0.9617020045237812,0.5,0.4604229341157666,4.348498925273334,0.1964676250423295,2.92670147702128,0.90375,0.285,0.0060546875,2.1947444658764184
1459,0.2116,0.234,0.2217,0.2607,0.2521,0.2361,gmm,0.9178,8174.0,7.0,10.0,0.6813859297860176,0.4710766102935149,0.2560388320784263,0.9888202797757548,2.3604166666666666,0.9999993784643224,0.8571428571428571,0.3285597944155294,1.4578837862277778,-0.0705440800274953,7.303418520036507,0.8414452067869697,0.1810621390258236,0.0069558530532349,0.806227396867693,8174.0,7.0,10.0,0.6813859297860176,0.4710766102935149,0.2560388320784263,0.9888202797757548,2.3604166666666666,0.9999993784643224,0.8571428571428571,0.3285597944155294,1.4578837862277778,-0.0705440800274953,7.303418520036507,0.8414452067869697,0.1810621390258236,0.0069558530532349,0.806227396867693
