dataset_id,failure_reason,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,gt_accuracy,majority_accuracy,gt_lift_over_majority,n_transformed_features,best_method
43924,,0.630435,0.630435,0.608696,0.467391,0.597826,0.402174,0.621622,0.290541,0.331081,1294.0,kmeans
732,,0.707317,0.707317,0.707317,0.560976,0.585366,0.585366,0.82,0.54,0.28,50.0,kmeans
1459,,0.21162,0.245736,0.221748,0.260661,0.253198,0.236141,0.917808,0.138454,0.779354,7.0,gmm
1495,,1.0,1.0,1.0,1.0,0.98,0.56,1.0,0.58,0.42,18.0,kmeans
4538,,0.518968,0.447648,0.494689,0.465857,0.536419,0.501517,0.667342,0.298734,0.368608,32.0,autoenc
46176,,0.987097,0.451613,0.535484,0.787097,0.56129,0.6,0.724299,0.308411,0.415888,41.0,kmeans
694,,0.392857,0.589286,0.410714,0.571429,0.446429,0.321429,0.903226,0.129032,0.774194,8.0,dbscan
43958,,0.568009,0.682263,0.683351,0.562568,0.589771,0.564744,0.885356,0.5,0.385356,558.0,agg
42544,,0.520833,0.1875,0.5,0.541667,0.479167,0.416667,0.90566,0.169811,0.735849,10.0,gmm
46944,,0.280802,0.283668,0.275072,0.266476,0.272206,0.269341,0.8725,0.25,0.6225,26.0,dbscan
45035,,0.790828,0.781213,0.758867,0.756788,0.756658,0.756918,0.66063,0.500043,0.160587,107.0,kmeans
39,,0.779661,0.813559,1.0,0.813559,0.762712,0.762712,0.867647,0.426471,0.441176,7.0,agg
44033,,0.645491,0.593057,0.560213,0.581245,0.55762,0.612648,0.902144,0.500065,0.402079,14.0,kmeans
1527,,0.263566,0.934884,0.330233,0.269767,0.283721,0.376744,0.990783,0.907834,0.082949,3.0,dbscan
44367,,0.672897,0.623053,0.660436,0.660436,0.663551,0.626168,0.8025,0.5,0.3025,11.0,kmeans
26,,0.30129,0.481047,0.305979,0.277061,0.265338,0.228214,0.987269,0.333333,0.653935,27.0,dbscan
44505,,0.573718,0.596154,0.50641,0.538462,0.442308,0.387821,0.802057,0.347044,0.455013,27.0,dbscan
44677,,0.590426,0.617021,0.531915,0.585106,0.534574,0.577128,0.94,0.5575,0.3825,68.0,dbscan
46543,,0.649055,0.704589,0.649055,0.652526,0.649055,0.702275,0.775651,0.50015,0.275501,10.0,dbscan
45028,,0.60563,0.566822,0.575294,0.641159,0.614922,0.562449,0.8866,0.500121,0.386479,8.0,gmm
734,,0.768947,0.651372,0.794347,0.650143,0.732487,0.648914,0.887636,0.576,0.311636,40.0,agg
44619,,0.355224,0.692537,0.358209,0.280597,0.280597,0.435821,0.968208,0.699422,0.268786,21.0,dbscan
46842,,0.577143,0.674286,0.571429,0.674286,0.674286,0.468571,0.862069,0.399015,0.463054,6.0,dbscan
46952,,0.591623,0.685864,0.691099,0.612565,0.570681,0.670157,0.905213,0.663507,0.241706,57.0,agg
784,,0.636364,0.909091,0.636364,0.636364,0.727273,0.772727,0.785714,0.5,0.285714,13.0,dbscan
44671,,0.635556,0.524444,0.573333,0.693333,0.76,0.622222,0.5625,0.3,0.2625,32.0,autoenc
46554,,0.79001,0.889554,0.783182,0.79001,0.55666,0.837805,0.927556,0.777778,0.149778,27.0,dbscan
46963,,0.838298,0.578723,0.846809,0.570213,0.842553,0.565957,0.867159,0.516605,0.350554,25.0,agg
44663,,0.416309,0.76824,0.381974,0.60515,0.463519,0.532189,0.5825,0.4175,0.165,51.0,dbscan
1,,0.616667,0.805556,0.683333,0.516667,0.55,0.577778,1.0,0.761111,0.238889,84.0,dbscan
44259,,0.5,0.661111,0.5,0.711111,0.505556,0.5,1.0,0.538889,0.461111,86.0,gmm
44158,,0.655257,0.629584,0.650367,0.652812,0.627139,0.704156,0.812314,0.500497,0.311817,85.0,dictlearn
45547,,0.703387,0.814956,0.7059,0.806614,0.81757,0.772741,0.710643,0.500286,0.210357,19.0,autoenc
44395,,0.830409,0.845029,0.830409,0.830409,0.830409,0.748538,0.855,0.5,0.355,20.0,dbscan
816,,0.60369,0.60738,0.681919,0.802952,0.659779,0.612546,0.826724,0.502135,0.324588,8.0,gmm
721,,0.885714,0.6,0.771429,0.885714,0.657143,0.571429,0.875,0.525,0.35,10.0,kmeans
335,,0.5,0.981818,0.581818,0.5,0.718182,0.436364,0.990991,0.522523,0.468468,17.0,dbscan
896,,0.702381,0.702381,0.642857,0.833333,0.702381,0.642857,0.84,0.56,0.28,25.0,gmm
46584,,0.72973,0.608108,0.513514,0.689189,0.756757,0.743243,0.552239,0.313433,0.238806,49.0,autoenc
45022,,0.954142,1.058353,0.988504,0.98738,0.948144,0.926653,0.562878,0.5,0.062878,7.0,dbscan
45026,,0.700486,0.700486,0.700486,0.700486,0.700486,0.703266,0.7195,0.5,0.2195,22.0,dictlearn
32,,0.687299,0.326914,0.699679,0.821641,0.684548,0.574966,0.991814,0.104138,0.887676,16.0,gmm
