dataset,dataset_id,n_classes,gt_acc,predicted_method,predicted_lse_actual,predicted_method_c2,predicted_lse_actual_c2,oracle_method,oracle_lse,kmeans_lse,hit,hit_c2,gap_vs_oracle,gap_vs_oracle_c2,gain_vs_kmeans,gain_vs_kmeans_c2,true_lse_kmeans,true_lse_dbscan,true_lse_agg,true_lse_gmm,true_lse_autoenc,true_lse_dictlearn,pred_lse_kmeans,pred_lse_dbscan,pred_lse_agg,pred_lse_gmm,pred_lse_autoenc,pred_lse_dictlearn
Iris,61,3,0.9,gmm,1.037,gmm,1.037,gmm,1.037,0.889,True,True,0.0,0.0,0.148,0.148,0.8889,0.7407,0.8889,1.037,0.9259,0.4444,0.6638,0.5502,0.6476,0.6969,0.6691,0.5374
Wine,187,3,1.0,gmm,1.0,gmm,1.0,kmeans,1.0,1.0,False,False,0.0,0.0,0.0,0.0,1.0,0.6429,0.9667,1.0,0.9762,0.7048,0.7473,0.6422,0.6984,0.7939,0.7586,0.6171
Breast Cancer Wisconsin,15,2,0.952,kmeans,0.989,gmm,0.947,agg,1.0,0.989,False,False,0.01,0.052,0.0,-0.042,0.9891,0.525,0.9995,0.9472,0.951,0.5578,0.8367,0.7171,0.8551,0.8706,0.844,0.6976
Heart Disease (UCI),53,2,0.817,autoenc,1.0,autoenc,1.0,autoenc,1.0,0.99,True,True,0.0,0.0,0.01,0.01,0.9898,0.949,0.9082,0.9337,1.0,0.6378,0.8433,0.6603,0.8005,0.8556,0.7855,0.606
Palmer Penguins,40966,8,1.0,kmeans,0.252,autoenc,0.237,agg,0.391,0.252,False,False,0.139,0.154,0.0,-0.015,0.2518,0.1587,0.3909,0.306,0.2372,0.2925,0.5659,0.2621,0.556,0.5779,0.5253,0.4619
Diabetes (Pima),37,2,0.741,gmm,0.722,gmm,0.722,kmeans,0.864,0.864,False,False,0.142,0.142,-0.142,-0.142,0.8642,0.6617,0.7419,0.7217,0.7329,0.6024,0.8175,0.6432,0.7905,0.8322,0.7829,0.5998
Vehicle Silhouettes,54,4,0.737,kmeans,0.529,kmeans,0.529,kmeans,0.529,0.529,True,True,0.0,0.0,0.0,0.0,0.529,0.3471,0.5264,0.5201,0.5128,0.4681,0.5387,0.3666,0.5362,0.5322,0.5232,0.4689
Adult Income,1590,2,0.707,gmm,0.877,gmm,0.877,kmeans,0.996,0.996,False,False,0.119,0.119,-0.119,-0.119,0.9963,0.7454,0.748,0.8768,0.765,0.7478,0.8244,0.707,0.7777,0.8266,0.7788,0.6862
Credit Card Fraud,1597,2,0.878,kmeans,0.492,gmm,0.42,autoenc,0.965,0.492,False,False,0.472,0.545,0.0,-0.073,0.4925,0.7093,,0.4199,0.9647,0.5644,0.8541,0.7668,0.7999,0.815,0.7784,0.7555
Ionosphere,59,2,0.958,agg,0.814,gmm,0.81,kmeans,0.86,0.86,False,False,0.045,0.049,-0.045,-0.049,0.8598,0.4991,0.8144,0.8103,0.7972,0.4537,0.8489,0.7208,0.7807,0.8737,0.8001,0.6704
Statlog Satellite (satimage),182,6,0.881,kmeans,0.754,agg,0.633,autoenc,0.757,0.754,False,False,0.003,0.125,0.0,-0.122,0.7543,0.3391,0.6327,0.6378,0.7573,0.6314,0.5648,0.3633,0.5638,0.6624,0.5477,0.4658
Page Blocks,30,5,0.857,gmm,0.517,gmm,0.517,gmm,0.517,0.447,True,True,0.0,0.0,0.07,0.07,0.4473,0.374,0.4483,0.5168,0.383,0.484,0.5149,0.4901,0.5212,0.6078,0.5502,0.4859
Optdigits,28,10,0.986,kmeans,0.714,gmm,0.692,agg,0.752,0.714,False,False,0.038,0.06,0.0,-0.022,0.714,0.1014,0.7523,0.6918,0.4197,0.4707,0.5731,0.267,0.5637,0.5647,0.528,0.4649
Spambase,44,2,0.937,kmeans,0.532,agg,0.531,autoenc,0.91,0.532,False,False,0.378,0.379,0.0,-0.001,0.5316,0.535,0.5307,0.5336,0.9097,0.6308,0.7708,0.6775,0.7448,0.7478,0.7011,0.6739
